@Member_Id,DisplayAs,ListAs,clearName,Glasses,HairColour,HairLength,FacialHair,ICCode,Speaker
4126,Mary Glindon,"Glindon, Mary",Mary Glindon,FALSE,Blonde,Medium,,,
1562,Sir Robert Goodwill,"Goodwill, Sir Robert",Robert Goodwill,FALSE,Grey,Short,,,
1571,Michael Gove,"Gove, Michael",Michael Gove,TRUE,Grey,Short,,,
4432,Patrick Grady,"Grady, Patrick",Patrick Grady,FALSE,No Hair,No Hair,,,
3990,Richard Graham,"Graham, Richard",Richard Graham,FALSE,Grey,Short,,,
4018,Mrs Helen Grant,"Grant, Mrs Helen",Helen Grant,FALSE,Brown,Long,,,
4466,Peter Grant,"Grant, Peter",Peter Grant,FALSE,Brown,Short,,,
261,James Gray,"Gray, James",James Gray,FALSE,Grey,Short,,,
1413,Chris Grayling,"Grayling, Chris",Chris Grayling,FALSE,No Hair,No Hair,,,
4398,Chris Green,"Green, Chris",Chris Green,FALSE,Brown,Short,,,
76,Damian Green,"Green, Damian",Damian Green,FALSE,No Hair,No Hair,,,
4120,Kate Green,"Green, Kate",Kate Green,FALSE,Grey,Short,,,
4918,Sarah Green,"Green, Sarah",Sarah Green,FALSE,Black,Long,,,
4029,Lilian Greenwood,"Greenwood, Lilian",Lilian Greenwood,FALSE,Grey,Short,,,
4400,Margaret Greenwood,"Greenwood, Margaret",Margaret Greenwood,FALSE,Grey,Short,,,
4874,Andrew Griffith,"Griffith, Andrew",Andrew Griffith,FALSE,No Hair,No Hair,,,
1541,Nia Griffith,"Griffith, Nia",Nia Griffith,FALSE,Black,Short,,,
4773,Kate Griffiths,"Griffiths, Kate",Kate Griffiths,FALSE,Red,Long,,,
4843,James Grundy,"Grundy, James",James Grundy,FALSE,Grey,Short,,,
4814,Jonathan Gullis,"Gullis, Jonathan",Jonathan Gullis,FALSE,Brown,Short,Stubble,,
1506,Andrew Gwynne,"Gwynne, Andrew",Andrew Gwynne,TRUE,Brown,Short,,,
4473,Louise Haigh,"Haigh, Louise",Louise Haigh,FALSE,Red,Long,,,
3985,Robert Halfon,"Halfon, Robert",Robert Halfon,FALSE,Grey,Short,,,
4450,Luke Hall,"Hall, Luke",Luke Hall,FALSE,Brown,Short,,,
415,Fabian Hamilton,"Hamilton, Fabian",Fabian Hamilton,FALSE,Grey,Short,Beard,,
1585,Stephen Hammond,"Hammond, Stephen",Stephen Hammond,FALSE,Brown,Short,,,
4070,Matt Hancock,"Hancock, Matt",Matt Hancock,FALSE,Brown,Short,,,
1526,Greg Hands,"Hands, Greg",Greg Hands,FALSE,Brown,Short,,,
4827,Claire Hanna,"Hanna, Claire",Claire Hanna,FALSE,Brown,Medium,,,
4782,Neale Hanvey,"Hanvey, Neale",Neale Hanvey,FALSE,No Hair,No Hair,,,
4645,Emma Hardy,"Hardy, Emma",Emma Hardy,FALSE,Red,Short,,,
150,Ms Harriet Harman,"Harman, Ms Harriet",Harriet Harman,FALSE,Red,Short,,,
1520,Mr Mark Harper,"Harper, Mr Mark",Mark Harper,FALSE,Brown,Short,,,
4480,Carolyn Harris,"Harris, Carolyn",Carolyn Harris,TRUE,Lilac,Short,,,
3948,Rebecca Harris,"Harris, Rebecca",Rebecca Harris,TRUE,Brown,Long,,,
4593,Trudy Harrison,"Harrison, Trudy",Trudy Harrison,FALSE,Brown,Long,,,
4842,Sally-Ann Hart,"Hart, Sally-Ann",Sally-Ann Hart,FALSE,Blonde,Medium,,,
3944,Simon Hart,"Hart, Simon",Simon Hart,FALSE,Grey,Short,,,
4510,Helen Hayes,"Hayes, Helen",Helen Hayes,FALSE,Blonde,Medium,,,
350,Sir John Hayes,"Hayes, Sir John",John Hayes,FALSE,Grey,Short,,,
4636,Chris Hazzard,"Hazzard, Chris",Chris Hazzard,FALSE,Brown,Short,,1,
69,Sir Oliver Heald,"Heald, Sir Oliver",Oliver Heald,FALSE,Grey,Short,,,
400,John Healey,"Healey, John",John Healey,FALSE,No Hair,No Hair,,,
4528,James Heappey,"Heappey, James",James Heappey,FALSE,Brown,Short,,,
3977,Chris Heaton-Harris,"Heaton-Harris, Chris",Chris Heaton-Harris,FALSE,Grey,Short,,,
4050,Gordon Henderson,"Henderson, Gordon",Gordon Henderson,FALSE,Grey,Short,,,
473,Sir Mark Hendrick,"Hendrick, Sir Mark",Mark Hendrick,TRUE,No Hair,No Hair,,,
4467,Drew Hendry,"Hendry, Drew",ew Hendry,FALSE,Grey,Short,,,
4794,Darren Henry,"Henry, Darren",Darren Henry,TRUE,Brown,Short,,,
4833,Antony Higginbotham,"Higginbotham, Antony",Antony Higginbotham,FALSE,Brown,Short,Stubble,,
1524,Dame Meg Hillier,"Hillier, Dame Meg",Meg Hillier,TRUE,Brown,Medium,,,
3969,Damian Hinds,"Hinds, Damian",Damian Hinds,FALSE,Grey,Short,,,
